id,studentNo,name,gender,birthDate,phone,address,grade,enrollmentDate,status,avatar,remark,majorId,majorName,classId,className,createdAt,updatedAt
1,2021ECOM01001,蒋慧敏,female,2001-07-27,18885203275,模拟市海淀区模拟路269号,2021,2021-09-01,graduated,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
2,2023ECOM02002,严雅婷,female,2005-06-21,15187852331,模拟市滨江区模拟路101号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
3,2024AI02003,褚晓彤,female,2006-08-05,16623177785,模拟市海淀区模拟路664号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
4,2024AI02004,云子涵,female,2004-10-24,13935619859,模拟市朝阳区模拟路678号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
5,2021CS02005,何语嫣,female,2001-11-06,15814881732,模拟市天河区模拟路261号,2021,2021-09-01,suspended,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
6,2021CS03006,吴景行,male,2002-01-10,15811168336,模拟市高新区模拟路688号,2021,2021-09-01,studying,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
7,2021CS02007,严静怡,female,2002-03-18,18836268814,模拟市天河区模拟路156号,2021,2021-09-01,studying,,,2,计算机科学与技术,2,计算机科学与技术2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
8,2024AI02008,卫睿哲,male,2007-08-04,13871480147,模拟市西湖区模拟路97号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
9,2023ECOM02009,褚志远,male,2005-03-22,18865009335,模拟市西湖区模拟路992号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
10,2021SE02010,苗子轩,male,2004-08-14,13928353682,模拟市海淀区模拟路722号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
11,2021SE02011,李雪晴,female,2004-01-09,17822963493,模拟市武侯区模拟路951号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
12,2022DS02012,范欣怡,female,2003-05-17,15864044218,模拟市高新区模拟路217号,2022,2022-09-01,suspended,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
13,2024AI02013,李雨桐,female,2006-05-24,18690319609,模拟市高新区模拟路176号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
14,2023ECOM02014,俞梦瑶,female,2005-10-20,15293679027,模拟市武侯区模拟路562号,2023,2023-09-01,studying,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
15,2022DS02015,曹承泽,male,2002-08-19,15115897077,模拟市滨江区模拟路689号,2022,2022-09-01,studying,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
16,2022DS02016,邹景行,male,2003-03-07,13964098825,模拟市武侯区模拟路772号,2022,2022-09-01,studying,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
17,2021SE02017,褚欣怡,female,2004-10-15,16682365110,模拟市高新区模拟路437号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
18,2021SE02018,花景行,male,2004-10-24,16627509514,模拟市浦东新区模拟路974号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
19,2023ECOM02019,韦思源,male,2004-01-10,15279485561,模拟市海淀区模拟路578号,2023,2023-09-01,graduated,,,5,电子商务,8,电子商务2302班,2026-04-26T18:01:54,2026-04-26T18:01:54
20,2022DS02020,陶晓彤,female,2004-05-18,15763400965,模拟市朝阳区模拟路596号,2022,2022-09-01,studying,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
21,2024AI02021,云承泽,male,2006-09-04,16614466984,模拟市天河区模拟路869号,2024,2024-09-01,studying,,,3,人工智能,4,人工智能2402班,2026-04-26T18:01:54,2026-04-26T18:01:54
22,2022DS02022,谢思源,male,2004-01-28,15221373813,模拟市海淀区模拟路938号,2022,2022-09-01,studying,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
23,2021CS03023,韩志远,male,2002-12-26,15151090411,模拟市浦东新区模拟路247号,2021,2021-09-01,studying,,,2,计算机科学与技术,7,计算机科学与技术2103班,2026-04-26T18:01:54,2026-04-26T18:01:54
24,2021SE02024,吴国强,male,2003-03-04,15293564187,模拟市浦东新区模拟路513号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
25,2022DS02025,李梦瑶,female,2002-09-27,15064460406,模拟市海淀区模拟路358号,2022,2022-09-01,graduated,,,4,数据科学与大数据技术,5,数据科学与大数据技术2202班,2026-04-26T18:01:54,2026-04-26T18:01:54
26,2021ECOM01026,喻诗涵,female,2001-02-24,18888062986,模拟市西湖区模拟路3号,2021,2021-09-01,graduated,,,5,电子商务,1,电子商务2101班,2026-04-26T18:01:54,2026-04-26T18:01:54
27,2021SE02027,何景行,male,2001-11-14,15997648197,模拟市武侯区模拟路742号,2021,2021-09-01,studying,,,1,软件工程,3,软件工程2102班,2026-04-26T18:01:54,2026-04-26T18:01:54
