id,username,plainPassword,nickname,role,status,teacherId,studentId,lastLoginAt,createdAt,updatedAt
1,admin,123456,系统管理员,admin,enabled,,,,2026-04-26T18:01:54,2026-04-26T18:01:54
2,t001,123456,彭佳怡,teacher,enabled,1,,,2026-04-26T18:01:54,2026-04-26T18:01:54
3,t002,123456,魏静怡,teacher,enabled,2,,,2026-04-26T18:01:54,2026-04-26T18:01:54
4,t003,123456,花睿哲,teacher,enabled,3,,,2026-04-26T18:01:54,2026-04-26T18:01:54
5,t004,123456,姜婉婷,teacher,enabled,4,,,2026-04-26T18:01:54,2026-04-26T18:01:54
6,t005,123456,奚宇航,teacher,enabled,5,,,2026-04-26T18:01:54,2026-04-26T18:01:54
7,t006,123456,李志远,teacher,enabled,6,,,2026-04-26T18:01:54,2026-04-26T18:01:54
8,t007,123456,云承泽,teacher,enabled,7,,,2026-04-26T18:01:54,2026-04-26T18:01:54
9,t008,123456,任景行,teacher,enabled,8,,,2026-04-26T18:01:54,2026-04-26T18:01:54
10,2021ecom01001,123456,蒋慧敏,student,enabled,,1,,2026-04-26T18:01:54,2026-04-26T18:01:54
11,2023ecom02002,123456,严雅婷,student,enabled,,2,,2026-04-26T18:01:54,2026-04-26T18:01:54
12,2024ai02003,123456,褚晓彤,student,enabled,,3,,2026-04-26T18:01:54,2026-04-26T18:01:54
13,2024ai02004,123456,云子涵,student,enabled,,4,,2026-04-26T18:01:54,2026-04-26T18:01:54
14,2021cs02005,123456,何语嫣,student,enabled,,5,,2026-04-26T18:01:54,2026-04-26T18:01:54
15,2021cs03006,123456,吴景行,student,enabled,,6,,2026-04-26T18:01:54,2026-04-26T18:01:54
16,2021cs02007,123456,严静怡,student,enabled,,7,,2026-04-26T18:01:54,2026-04-26T18:01:54
17,2024ai02008,123456,卫睿哲,student,enabled,,8,,2026-04-26T18:01:54,2026-04-26T18:01:54
18,2023ecom02009,123456,褚志远,student,enabled,,9,,2026-04-26T18:01:54,2026-04-26T18:01:54
19,2021se02010,123456,苗子轩,student,enabled,,10,,2026-04-26T18:01:54,2026-04-26T18:01:54
20,2021se02011,123456,李雪晴,student,enabled,,11,,2026-04-26T18:01:54,2026-04-26T18:01:54
21,2022ds02012,123456,范欣怡,student,enabled,,12,,2026-04-26T18:01:54,2026-04-26T18:01:54
22,2024ai02013,123456,李雨桐,student,enabled,,13,,2026-04-26T18:01:54,2026-04-26T18:01:54
23,2023ecom02014,123456,俞梦瑶,student,enabled,,14,,2026-04-26T18:01:54,2026-04-26T18:01:54
24,2022ds02015,123456,曹承泽,student,enabled,,15,,2026-04-26T18:01:54,2026-04-26T18:01:54
25,2022ds02016,123456,邹景行,student,enabled,,16,,2026-04-26T18:01:54,2026-04-26T18:01:54
26,2021se02017,123456,褚欣怡,student,enabled,,17,,2026-04-26T18:01:54,2026-04-26T18:01:54
27,2021se02018,123456,花景行,student,enabled,,18,,2026-04-26T18:01:54,2026-04-26T18:01:54
